"原任务","原名称","核查判定","已有内容","剔除重复开发","剩余内容","V3处理","承接编号","源码依据","其他本地分支"
"CW-034","路线 A：保留客户 PG 并归档内部数据","准备或条件判断","已有客户PG运行历史、PG恢复工具、SQLite归档/恢复工具和PG保持为唯一业务真源的回滚原则，路线A通常无需新增导入程序。","若CW-005正式选择A，可剔除A路线专属数据导入开发，复用现有PG升级/PITR和SQLite归档工具；不得把旧生产记录当成本次候选的A路线验收。","先按实际批次裁决A/B/C；若选A，证明内部数据无需合入，升级保留PG至冻结head，演练前后核对客户/设备/session/项目/钱包，封存并实际恢复内部SQLite，同时扫描PG内local资产决定是否触发CW-037。","条件实施与验收","CW-034","[docs/evidence/PRODUCTION-HOTFIX-RECONCILIATION-20260830.md:10](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/PRODUCTION-HOTFIX-RECONCILIATION-20260830.md:10)；[server/app/backup.py:305](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/backup.py:305)；[docs/客户版部署与灰度手册.md:15](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/客户版部署与灰度手册.md:15)；[outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:40](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:40)","{""ref"": ""ops/deploy-8bd0374-20260902-170141@c89012dfa6868d0c5f19c56cf079fef2be7a3639"", ""why"": ""存在旧候选生产部署支线，但不是当前收敛候选，也没有A路线数据/归档签收，不能提升状态。""}。"
"CW-035","路线 B：从 SQLite 导入空 PostgreSQL","准备或条件判断","T07已有维护窗、PG advisory lock、源/目标同head和schema检查、空目标保护、单事务导入、重放判定、序列重置及全量账务/资产引用对账；原SHA在PG16自动化中通过。","若选择B，剔除空目标SQLite→PG导入器、基础对账器、失败回滚/同快照重放机制的重复开发；实际数据演练、最新head约束、用户资格和资产迁移不得剔除。","裁决该批次是否B；通过CW-060交付独立operator制品；冻结原件并只在工作副本做必要规范化；把目标PG升级到最终head后对实际副本导入/重放/失败恢复，核对用户资格、约束、下一ID/流水和CW-037对象。","条件实施与验收","CW-035","[server/scripts/sqlite_to_postgres.py:121](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/scripts/sqlite_to_postgres.py:121)；[server/scripts/sqlite_to_postgres.py:524](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/scripts/sqlite_to_postgres.py:524)；[server/scripts/reconcile_customer_billing.py:922](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/scripts/reconcile_customer_billing.py:922)；[docs/evidence/T07-EVIDENCE.md:99](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T07-EVIDENCE.md:99)；[docs/evidence/T07-EVIDENCE.md:111](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T07-EVIDENCE.md:111)","。"
"CW-036","路线 C：选择性合并已有客户 PG","准备或条件判断","可复用现有快照/账务/资产引用核对和PG数据库分配wallet ledger_sequence的触发器；当前T07导入器明确拒绝非空且不一致的目标，没有选择性合并实现。","剔除通用快照、基础引用对账和目标PG序列触发器的重复开发；不得删除C路线专项工具、冲突/血缘/幂等恢复开发，只因现有空库导入器可用。","先裁决是否选择C。若选择，新增并登记全FK及JSON/text内嵌ID矩阵、源目标映射和不可变血缘，实施不覆盖已有客户的选择性合并、目标序列分配、分批幂等/恢复及完整资金/对象核对。","条件实施与验收","CW-036","[server/scripts/sqlite_to_postgres.py:559](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/scripts/sqlite_to_postgres.py:559)；[server/scripts/reconcile_customer_billing.py:995](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/scripts/reconcile_customer_billing.py:995)；[server/migrations/versions/063_wallet_ledger_sequence.py:52](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/migrations/versions/063_wallet_ledger_sequence.py:52)；[outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:42](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:42)","。"
"CW-037","迁移并逐对象校验历史 local 资产","准备或条件判断","已有local/COS适配器、COS写入SHA-256元数据与put/get/head/copy/delete原语，数据库对账能查标量和JSON资产ID孤儿；没有跨provider的历史local→COS遍历、映射、引用切换和回滚工具。","剔除COS基本对象API、local读取能力和数据库资产ID孤儿扫描的重复开发；不能把同一adapter内copy_object或单次真实素材上传当作历史资产迁移。","先遍历所有保留表/字段和对象根裁决是否存在local/非共享持久对象。若存在，开发/登记幂等迁移operator，产出旧URI→新key映射，逐对象验证size/SHA-256/owner/授权读取，原子或可恢复地更新引用并保留回滚期源对象。","条件实施与验收","CW-037","[server/app/storage.py:242](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/storage.py:242)；[server/app/storage.py:466](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/storage.py:466)；[server/app/storage.py:574](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/storage.py:574)；[server/scripts/reconcile_customer_billing.py:1072](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/scripts/reconcile_customer_billing.py:1072)；[outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:43](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:43)","{""ref"": ""feat/material-library-linkage-completion@6bcc61de3702ae8998a8b499087a3c71c122fc9d"", ""why"": ""该未集成支线记录一次真实生产COS图片素材上传和对象权限，但没有历史local资产遍历/映射/引用迁移，且不能代表当前候选。""}。"
"CW-038","核对未完任务、冻结额度与外部回执","已有实现，待复验","已有安全终结悬挂RESERVE的PG CLI、generation提交不确定对账操作、oral按证据人工SETTLE/RELEASE及幂等证据摘要、客户聚合页的运行中/需关注计数；代码明确不自动处理SUBMISSION_UNCERTAIN。","剔除generation/oral终态悬挂账务扫描、证据化人工结算和提交不确定防盲重试机制的重复开发；不剔除切换批次的实际盘点、Provider回执核验和负责人签收。","在选定数据副本停写后遍历全部排队/运行/归档失败/提交不确定/失败待补偿任务和冻结额；把每项绑定Provider回执与既有逻辑幂等键，分别排空、恢复、取消或进入受保护人工核验；运行dry-run/受控处置并复核钱包差额为0。新任务族或未被现有报表覆盖的状态须补盘点查询或报告。","复验","CW-038","[server/scripts/reconcile_dangling_billing_reservations.py:27](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/scripts/reconcile_dangling_billing_reservations.py:27)；[server/app/internal_billing.py:56](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/internal_billing.py:56)；[server/app/internal_billing.py:465](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/internal_billing.py:465)；[server/app/generation.py:3299](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/generation.py:3299)；[server/app/admin_customer_routes.py:881](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/admin_customer_routes.py:881)","{""ref"": ""codex/local-main-pg-timeouts-20260908@6a2f579e2c6706062cbcd8cdbed7ec151062c867"", ""why"": ""该未集成支线含进一步的口播/转写并发与供应商回执保护；集成前只算候选代码，不能提升当前基线或替代实际处置。""}。"
"CW-039","完成数据副本演练并冻结切换回滚手册","已有实现，待复验","已有T07维护窗/R0-R1数据回滚原则、PG PITR/故障runbook和应用回滚前向schema/资金事实红线；尚无针对实际A/B/C批次、最终head及当前对象/未完任务的完整副本演练和签收。","剔除通用维护窗、基础PG PITR脚本、应用滚动/回滚原则的重复编写；不能剔除按已选路线组合后的实际数据副本演练、检查点和业务/运维签收。","在CW-033/034-038完成后冻结所选批次runbook；对隔离副本演练停写、最后增量、对象切换、未知任务处置、校验和回退流量；用真实旧兼容代码验证前向schema读取，分别处理资金事实与序列状态并记录最后安全回退边界。","复验","CW-039","[docs/evidence/T07-EVIDENCE.md:111](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T07-EVIDENCE.md:111)；[docs/客户版部署与灰度手册.md:410](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/客户版部署与灰度手册.md:410)；[docs/evidence/T39-EVIDENCE.md:23](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T39-EVIDENCE.md:23)；[outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:45](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:45)","。"
"CW-060","隔离历史 SQLite 迁移工具与兼容测试","已有基础，仍有增量","历史SQLite快照、空PG导入、对账和大量兼容测试已经实现；当前客户热修发布脚本只显式复制app/migrations，但app wheel本身包含app.backup，发布脚本继承旧镜像且未清除server/scripts，仓库仍交付内部SQLite backup systemd单元，尚无可复建、版本化、哈希锁定的独立operator制品。","剔除T07快照/导入/对账算法及其既有测试的重复开发；保留并只做制品边界、入口隔离、版本绑定、允许清单和TEST-IMPORT/TEST-HISTORY分类。","把legacy采集/可选工作副本规范化/只读导入组织为独立operator包或一次性job并绑定最终head/hash；从在线app包移出或明确隔离app.backup，构建客户镜像时从干净基底显式排除SQLite scripts/backup timer并做实物扫描；登记已发布migration例外，缺PG时TEST-IMPORT/HISTORY fail而非伪通过，核对全部反向消费者。","代码与测试增量","CW-060","[server/scripts/sqlite_to_postgres.py:33](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/scripts/sqlite_to_postgres.py:33)；[server/pyproject.toml:51](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/pyproject.toml:51)；[deploy/customer-git-rollout.sh:202](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/customer-git-rollout.sh:202)；[deploy/systemd/video-replica-backup.service:1](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/systemd/video-replica-backup.service:1)；[docs/客户版部署与灰度手册.md:15](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/客户版部署与灰度手册.md:15)；[outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:46](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:46)","。"
"CW-040","退出内部发行和专属运维脚本","已有基础，仍有增量","客户 API@/Worker@、PG PITR、监控、维护服务和脚本已存在，可作为退出内部发行的替代路径；内部发行/服务/SQLite 备份仍完整保留。","剔除重做客户 systemd 实例模板、PG PITR 脚本和已有监控维护基础；其真实运行证据另由相关运维任务负责。","在调用/用途清单确认后删除内部 NSIS 构建、internal-p0 env/nginx/非模板 service、SQLite 专用备份和本地 launcher 的正式交付路径；保留有合法客户/离线迁移消费者部分。","代码与测试增量","CW-040","[.github/workflows/ci.yml:170](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/.github/workflows/ci.yml:170)；[deploy/systemd/video-replica-api.service:2](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/systemd/video-replica-api.service:2)；[deploy/systemd/video-replica-api@.service:2](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/systemd/video-replica-api@.service:2)；[deploy/systemd/video-replica-backup.service:11](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/systemd/video-replica-backup.service:11)；[deploy/systemd/video-replica-pitr-backup.service:12](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/systemd/video-replica-pitr-backup.service:12)","。"
"CW-041","退出内部身份和内部专用前后端入口","已有基础，仍有增量","客户生产 PG 认证已拒绝内部 access token 并复用客户 session verifier；生产控制面已使用 admin session/CSRF，合法共享业务 API 保留。内部开发/非生产 PG 仍接受内部 token 和 proxy 身份，内部 App/WalletPanel/CLI 仍在。","剔除重新实现客户生产身份拒绝和管理员 session 基础；保留合法共享 /api/projects 等业务路由及客户兼容 API。","移除内部入口/旧钱包消费者、内部 token 签发认证、固定开发身份/共享代理模式及无合法消费者路由；把现有 production-only 边界扩展为唯一客户产品全部环境合同，更新兼容允许清单。","代码与测试增量","CW-041","[server/app/auth.py:115](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/auth.py:115)；[server/app/auth.py:122](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/auth.py:122)；[server/app/control_auth.py:87](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/control_auth.py:87)；[server/app/internal_accounts.py:63](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/internal_accounts.py:63)；[client/src/RootApp.tsx:42](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.tsx:42)；[client/src/studio/LiveWorkspacePanel.tsx:154](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/LiveWorkspacePanel.tsx:154)","。"
"CW-042","移除 SQLite 业务运行实现与本地持久回退","已有基础，仍有增量","客户生产已有PG拒绝SQLite保护及共享PG门面；内部SQLite实现仍被业务使用。","重写现有PG连接/数据库业务模块；按internal名称删除共用账务。","在历史工具独立和PG回归覆盖核销后，删除在线SQLite分支/配置/translator/回退及本地持久路径；保留精确历史例外。","代码与测试增量","CW-042","[server/app/db.py:13](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/db.py:13)；[server/app/db_pg.py:122](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/db_pg.py:122)；[server/app/db_portable.py:67](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/db_portable.py:67)","。"
"CW-043","核对全业务 PG 测试覆盖并关闭 SQLite 替代","已有实现，待复验","已有大量PG专项与通用回归、V2 PG分类规则及字段定义。","再次从零写同一组PG测试；与CW-058/059重复开发同一断言。","对各实施增量生成的旧→PG/退出/历史例外映射做独立全量核销；有遗漏回到对应开发项补测。","复验","CW-043","[server/tests/test_postgres_migrations.py:142](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_postgres_migrations.py:142)；[docs/PostgreSQL唯一数据库实施与验收规范.md:23](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/PostgreSQL唯一数据库实施与验收规范.md:23)","。"
"CW-044","收敛 CI、命令、文档和正式交付清单","已有基础，仍有增量","现有secret、Linux质量、Rust、浏览器E2E、Windows双包及客户包排除启动器检查已经配置。","重建整套CI或重复实现客户包检查；重复制作已经同步的PG规范。","删除内部发行任务，默认check/build/dev统一客户+PG；所有业务入口共用PG preflight和分类门禁，历史工具单列；按最终代码更新手册。","代码与测试增量","CW-044","[package.json:10](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/package.json:10)；[.github/workflows/ci.yml:47](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/.github/workflows/ci.yml:47)；[.github/workflows/ci.yml:175](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/.github/workflows/ci.yml:175)；[.github/workflows/ci.yml:222](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/.github/workflows/ci.yml:222)","。"
"CW-058","迁移内容、资产与工作台数据库测试到 PG","已有基础，仍有增量","内容/素材/人物/工作台/爆款等已有行为测试与部分PG专项。","重新开发全部内容功能或重写已有相同断言。","沿调用者改造先移植现有持久化断言到真实PG；全量核销时补遗漏，保留合法Owner/关联/恢复/分页/JSON场景。","代码与测试增量","CW-058","[server/tests/test_independent_creation.py:91](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_independent_creation.py:91)；[server/tests/conftest.py:8](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/conftest.py:8)；[server/tests/test_postgres_migrations.py:142](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_postgres_migrations.py:142)","。"
"CW-059","迁移账务与所有任务域数据库测试到 PG","已有基础，仍有增量","钱包/账务/Worker及客户权限有成熟断言，部分客户专项用PG。","从零重写状态机/账务测试或以H3一组替代全部任务。","将剩余SQLite钱包/任务断言移到真实PG多连接；补混合任务、未知收费、迟到lease/epoch写与实际锁约束；复用每次实现时的红绿记录。","代码与测试增量","CW-059","[server/tests/test_wallet_billing_service.py:21](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_wallet_billing_service.py:21)；[server/tests/test_customer_security.py:408](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_customer_security.py:408)；[server/tests/test_independent_creation.py:91](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_independent_creation.py:91)","。"
"CW-045","通过最终代码与 PostgreSQL 全门禁","已有实现，待复验","全量静态、前后端、Rust、构建、安全、客户E2E的命令与CI框架已具备。","开发第二套同名全量门禁。","在去重后全部增量整合的同一候选SHA重新执行全量PG及构建门；记录环境/head/哈希/退出码。","复验","CW-045","[package.json:10](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/package.json:10)；[.github/workflows/ci.yml:112](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/.github/workflows/ci.yml:112)","。"
"CW-046","完成支持平台签名包实机与升级验收","待实际环境执行","客户无 sidecar 配置、Windows CI 编译/无签名 NSIS 制品检查、凭据和下载单元合同已经存在；没有足以满足本项的真实签名+干净系统+旧包安装矩阵证据。","剔除把单元测试/CI 无签名包再次建设为新功能；这些仅作为实机前置复验，不能剔除本项真实交付验收。","按 CW-002 支持 OS 和 CW-003 旧版本安装路径清单取得签名制品，在干净系统/旧安装样本实测激活、重启升级、两设备、上传预览下载取消、卸载/失败恢复、数据保护和进程端口。","现场执行与验收","CW-046","[.github/workflows/ci.yml:201](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/.github/workflows/ci.yml:201)；[.github/workflows/ci.yml:204](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/.github/workflows/ci.yml:204)；[docs/evidence/T36-EVIDENCE.md:197](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T36-EVIDENCE.md:197)；[docs/evidence/T29-EVIDENCE.md:87](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T29-EVIDENCE.md:87)；[client/src-tauri/src/video_downloads.rs:213](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/video_downloads.rs:213)","。"
"CW-047","完成真实多实例与负载验收","待实际环境执行","仓库已有LB+双API+四Worker+PG主端点+私有COS部署形状和fail-closed探针；T27在单机PG fixture做过10,000队列/四线程Worker/连接池压测，T34在PG fixture做过客户主链E2E。","剔除拓扑模板、基础health/readiness、10k本地压测和客户链E2E的重复开发；不把线程级四Worker或旧生产节点记录当作真实staging故障域/PG HA/混合负载验收。","冻结同一候选SHA与CW-004阈值，在授权的真实staging部署LB、两个独立API、四个独立Worker、PG HA与私有COS；执行跨API双设备/切换/fencing、公平A/B/C与混合任务负载，保存实际EXPLAIN ANALYZE BUFFERS、锁/池等待、节点/资源和阈值结果。","现场执行与验收","CW-047","[docs/evidence/T36-EVIDENCE.md:5](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T36-EVIDENCE.md:5)；[docs/evidence/T36-EVIDENCE.md:36](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T36-EVIDENCE.md:36)；[docs/evidence/T27-EVIDENCE.md:15](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T27-EVIDENCE.md:15)；[docs/evidence/T27-EVIDENCE.md:111](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T27-EVIDENCE.md:111)；[docs/客户版部署与灰度手册.md:24](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/客户版部署与灰度手册.md:24)","{""ref"": ""ops/deploy-8bd0374-20260902-170141@c89012dfa6868d0c5f19c56cf079fef2be7a3639"", ""why"": ""旧候选曾部署双API/四Worker，但与当前078候选分叉，且无PG HA/真实混合负载完整证据，只能作历史参考。""}。"
"CW-048","完成故障、PITR 与发布回滚演练","待实际环境执行","已有PG16物理备份+连续WAL、隔离PITR恢复、100事实verifier、staging-only故障演练操作单，以及API/Worker/PG/依赖故障的自动化合同。","剔除PITR/故障演练脚本和操作单的重复开发；不能剔除实际异地取回、隔离restore、API/Worker kill、PG HA failover、受控依赖故障、真实告警及RTO/RPO记录。","在授权staging按同一候选/回滚SHA执行全部故障；验证外部WAL/base真实可取、100事实逐笔恢复、API/Worker接管、PG HA切换、依赖幂等键/状态机、SUBMISSION_UNCERTAIN人工接管、P1 fired/resolved和兼容代码回退。","现场执行与验收","CW-048","[deploy/postgres/pitr-preflight.sh:31](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/postgres/pitr-preflight.sh:31)；[deploy/postgres/pitr-restore-drill.sh:30](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/deploy/postgres/pitr-restore-drill.sh:30)；[docs/evidence/T38-EVIDENCE.md:89](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T38-EVIDENCE.md:89)；[docs/evidence/T39-EVIDENCE.md:17](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T39-EVIDENCE.md:17)；[docs/evidence/T39-EVIDENCE.md:65](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T39-EVIDENCE.md:65)","。"
"CW-049","逐模块完成客户角色业务 UAT","待实际环境执行","已有PG fixture客户链E2E，覆盖激活、项目、Prompt、任务归档、第二设备冲突/切换、模拟ZPay回调；已有管理12页与客户组件浏览器截图，但客户组件使用内存模拟且不提交真实业务。","剔除T34自动化主链和已有页面视觉/组件冒烟的重复建设；不能把TestClient、Fake Provider、直插资产或内存模拟页面当作F01-F12真实客户角色UAT。","在CW-047真实staging由两名真实客户身份和规定管理员逐行执行F01-F12，从入口、详情、表单、任务到成功/失败/下一步；验证跨用户隔离、桌面关闭后云任务继续、钱包双入口、版本/首帧追溯，并记录范围外能力和缺陷复验。","现场执行与验收","CW-049","[docs/evidence/T34-E2E-EVIDENCE.md:15](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T34-E2E-EVIDENCE.md:15)；[docs/evidence/T34-E2E-EVIDENCE.md:108](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T34-E2E-EVIDENCE.md:108)；[docs/evidence/admin-revamp/browser-qa.md:5](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/admin-revamp/browser-qa.md:5)；[docs/evidence/admin-revamp/browser-qa.md:30](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/admin-revamp/browser-qa.md:30)；[outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:58](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/outputs/customer-cloud-convergence-analysis-2026-09-08/客户版收敛工作任务清单.csv:58)","。"
"CW-050","完成真实激活、支付、COS 和 Provider 联合链路","待实际环境执行","已有激活/钱包/Provider/COS/账务代码和自动化链；当前仓库另有生产COS生命周期规则删除证据，但那只证明桶保留策略，不证明同一候选的put/head/get/delete、真实ZPay与Provider联合链。","剔除基础激活、模拟支付回调、COS adapter和Provider状态机的重复开发；历史零散真实COS操作或不同SHA成功样本不得拼成Gate C。","在明确授权额度内冻结同一候选SHA，执行零额度激活、独立最低额真实ZPay、COS put/head/get/delete、真实Provider成功/确认失败/提交不确定；保存脱敏回执、结果引用、同一逻辑幂等键和钱包SETTLE/RELEASE闭合。","现场执行与验收","CW-050","[docs/客户版任务清单-V3.md:131](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/客户版任务清单-V3.md:131)；[docs/evidence/T34-E2E-EVIDENCE.md:27](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T34-E2E-EVIDENCE.md:27)；[docs/evidence/T45-EVIDENCE.md:15](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/T45-EVIDENCE.md:15)；[docs/evidence/cos-permanent-retention-production-2026-09-06.md:16](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/evidence/cos-permanent-retention-production-2026-09-06.md:16)；[docs/客户版任务清单-V3.md:263](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/客户版任务清单-V3.md:263)","{""ref"": ""feat/material-library-linkage-completion@6bcc61de3702ae8998a8b499087a3c71c122fc9d"", ""why"": ""该未集成支线记录一次生产COS图片预签PUT/complete成功，只覆盖materials资源，不含同SHA ZPay/Provider/失败与提交不确定联合链。""}。"
